place_name,address,latitude,longitude
평지담,경기 수원시 팔달구 신풍동 213,37.2836475,127.0159881
노팅힐 베이커리,경기 수원시 팔달구 신풍동 95,37.2841746,127.0129155
누크녹 행궁점,경기 수원시 팔달구 장안동 119-25,37.2859657,127.011386
행궁동 쥐쥐씨,경기 수원시 팔달구 북수동 346-1,37.2833822,127.0164929
오늘의치즈타르트 행궁본점,경기 수원시 팔달구 신풍동 43-2,37.2849905,127.0133988
디데이 하우스,경기 수원시 팔달구 장안동 99-2,37.2861801,127.012827
카페휴머,경기 수원시 팔달구 신풍동 114-2,37.2847767,127.0114859
아늑감,경기 수원시 팔달구 신풍동 71,37.2842983,127.0121782
경안당,경기 수원시 팔달구 장안동 124,37.2855656,127.0120212
블루스보이커피,경기 수원시 팔달구 신풍동 109-9,37.2839278,127.0121319
본지르르 수원,경기 수원시 팔달구 북수동 357-3,37.2828283,127.016698
패터슨커피,경기 수원시 팔달구 장안동 315-2,37.2851273,127.0115614
레드브릭커피하우스,경기 수원시 팔달구 장안동 110-2,37.2855562,127.0107411
골디스 행궁점,경기 수원시 팔달구 장안동 89-8,37.2866758,127.0126943
쏘블리,경기 수원시 팔달구 장안동 54-5,37.2862564,127.013717
행궁81.2,경기 수원시 팔달구 장안동 81-2,37.2861089,127.0140703
버터앤츄 행궁본점,경기 수원시 팔달구 장안동 131-1,37.285714,127.0126519
온유여월,경기 수원시 팔달구 장안동 28-10,37.2869872,127.0134621
스탠다드오브스터프 신풍점,경기 수원시 팔달구 신풍동 169,37.2845153,127.0146446
테르소,경기 수원시 팔달구 신풍동 178-2 . 1층(),37.2840131,127.0141105
패터슨커피,경기 수원시 팔달구 장안동 315-2,37.2851273,127.0115614
콩카페 수원행궁점,경기 수원시 팔달구 신풍동 84,37.2844699,127.0128837
행궁동카페모종,경기 수원시 팔달구 장안동 286-1,37.2854754,127.0125386
버터맨션,경기 수원시 팔달구 장안동 288-4,37.2853402,127.0125079
츄플러스,경기 수원시 팔달구 장안동 93-9,37.2865001,127.0126646
라 서우 콘테,경기 수원시 팔달구 장안동 27-14,37.2868431,127.0128417
토오즈,경기 수원시 팔달구 장안동 91-4,37.2864863,127.0122199
공간상점,경기 수원시 팔달구 장안동 91-9,37.2863439,127.0119411
오고르,경기 수원시 팔달구 장안동 119-6,37.2858748,127.0114894
행궁동 다사,경기 수원시 팔달구 신풍동 142-4,37.2846537,127.0132757
